date, pm25, pm10, o3, no2, so2, co
2023/10/2, 73, 17, , 19, , 
2023/10/3, 44, 14, , 27, , 
2023/10/4, 26, 21, , 26, , 
2023/10/5, 44, 25, , 30, , 
2023/10/6, 51, 18, , 25, , 
2023/10/8, 53, 41, , 24, , 
2023/10/9, 61, 39, , 30, , 
2023/10/10, 64, 32, , 32, , 
2023/10/11, 55, 26, , 31, , 
2023/10/12, 51, 29, , 32, , 
2023/10/13, 54, 21, , 17, , 
2023/10/14, 42, 11, , 18, , 
2023/10/15, 17, 11, , 15, , 
2023/10/16, 30, 15, , 14, , 
2023/10/17, 52, 20, , 14, , 
2023/10/18, 59, 26, , 20, , 
2023/10/19, 61, 20, , 20, , 
2023/10/20, 44, 10, , 24, , 
2023/10/21, 19, 11, , 23, , 
2023/10/22, 25, 16, , 16, , 
2023/10/23, 41, 24, , 21, , 
2023/10/24, 53, 9, , 23, , 
2023/10/25, 17, 14, , 27, , 
2023/10/26, 26, 10, , 25, , 
2023/10/27, 26, 11, , 23, , 
2023/10/28, 24, 13, , 22, , 
2023/10/29, 31, 19, , 21, , 
2023/10/30, 40, 10, , 21, , 
2023/10/31, 19, 10, , 14, , 
2023/11/1, 23, 11, , 20, , 
2023/11/2, 20, 9, , 24, , 
2023/11/3, 17, 7, , 16, , 
